id,booth,title,exhibitor,steamName,steamUrl,score,confidence,ok
"25","1F-D25","キッドバッシュ：スーパーレジェンド (Kidbash: Super Legend)","Authentic Remixes & Fat Raccoon","Kidbash: Super Legend","https://store.steampowered.com/app/2681870/","1.00","high","OK"
"26","1F-D26","シェオルの森 - 黄昏の魔獣使い (Forest of Sheol)","PepperBomb","","","0.00","none",""
"27","1F-D27","Am I Nima","HO! Games","Am I Nima","https://store.steampowered.com/app/3224600/","1.00","high","OK"
"28","1F-D28","表面迷宮くるまぶ (Surface Labyrinth KURUMABU)","KUMAZASA","Surface Labyrinth KURUMABU","https://store.steampowered.com/app/3546020/","1.00","high","OK"
"32","1F-D32","モノノケの国 (Mononoke No Kuni)","Lights Interactive","モノノケの国","https://store.steampowered.com/app/2597610/","1.00","high","OK"
"33","1F-D33","Die Deep (死深)","PINIX Games","Die Deep","https://store.steampowered.com/app/3211560/","1.00","high","OK"
"35","1F-D35","輪廻戦 Mad King Redemption","SECRET MISSION","輪廻戦記","https://store.steampowered.com/app/2369580/","0.15","none",""
"36","1F-D36","Miniature LAND -Four Seasons-","WarmingApp","Miniature LAND -Four Seasons-","https://store.steampowered.com/app/4460460/","1.00","high","OK"
"37","1F-D37","Foo Is Missing","Neutral Software Inc.","Foo Is Missing","https://store.steampowered.com/app/4282170/","1.00","high","OK"
"38","1F-D38","リズムホテル (Rhythm Hotel)","SyncArc-Studio","リズムホテル","https://store.steampowered.com/app/3253930/","1.00","high","OK"
"39","1F-D39","A Tiny Wander","DOUKUTSU PENGUIN CLUB","A Tiny Wander","https://store.steampowered.com/app/3260830/","1.00","high","OK"
"41","1F-D41","オニクラ (Onikura)","Too Dark Studio","Onikura オニクラ","https://store.steampowered.com/app/3008640/","0.90","high","OK"
"42","1F-D42","Magical Blush (マジカル・ブラッシュ)","Alkacer Game Studio","Magical Blush","https://store.steampowered.com/app/3488640/","1.00","high","OK"
"43","1F-D43","Near The Sun","Nonlinear","Near The Sun","https://store.steampowered.com/app/3039960/","1.00","high","OK"
"44","1F-D44","赫夜 (Kaguya)","Flypot LLC","Princess Kaguya: Legend of the Moon Warrior","https://store.steampowered.com/app/383710/","0.90","high","OK"
"45","1F-D45","人狼バーガー (Jinro Burger)","uracon LLC.","人狼バーガー","https://store.steampowered.com/app/3975350/","1.00","high","OK"
"46","1F-D46","Thumbylina","LeonaSoftware","","","0.00","none",""
